AWS Field,Sentinel Column,Sentinel Type,Mapping Notes
accountId,AccountId,string,"AWS account ID where the finding was generated"
type,ActivityType,string,"Finding type (e.g., Recon:EC2/PortProbeUnprotectedPort)"
arn,Arn,string,"Full ARN of the GuardDuty finding"
description,Description,string,"Human-readable finding description"
id,Id,string,"Unique finding identifier"
partition,Partition,string,"AWS partition: aws, aws-cn, or aws-us-gov"
region,Region,string,"AWS region where finding was generated"
resource,ResourceDetails,dynamic,"Entire resource object serialized as JSON. Contains resourceType, instanceDetails, accessKeyDetails, s3BucketDetails, etc."
schemaVersion,SchemaVersion,string,"GuardDuty finding schema version (e.g., 2.0)"
service,ServiceDetails,dynamic,"Entire service object serialized as JSON. Contains serviceName, action, evidence, additionalInfo, count, detectorId, etc."
severity,Severity,int,"Numeric severity 0-10 rounded to integer. AWS uses float; Sentinel expects int."
createdAt,TimeCreated,datetime,"ISO 8601 timestamp of when finding was first created"
updatedAt,TimeGenerated,datetime,"ISO 8601 timestamp of last update. Used as TimeGenerated for Sentinel."
title,Title,string,"Short finding title"
(system),_BilledSize,real,"Managed by Sentinel — do not send"
(system),_IsBillable,string,"Managed by Sentinel — do not send"
(system),SourceSystem,string,"Managed by Sentinel — do not send"
(system),TenantId,string,"Managed by Sentinel — do not send"
(system),Type,string,"Managed by Sentinel — do not send"
