AWS Field,Sentinel Column,Sentinel Type,Mapping Notes
action,Action,string,"ALLOW, BLOCK, COUNT, CAPTCHA, CHALLENGE, or EXCLUDED_AS_COUNT"
httpRequest.args,Args,string,"Query string from the HTTP request"
captchaResponse,CaptchaResponse,dynamic,"CAPTCHA response object serialized as JSON"
challengeResponse,ChallengeResponse,dynamic,"Challenge response object serialized as JSON"
httpRequest.clientIp,ClientIp,string,"Client IP address from the httpRequest object"
httpRequest.country,Country,string,"Country code from the httpRequest object"
excludedRules,ExcludedRules,dynamic,"Array of excluded rules serialized as JSON"
formatVersion,FormatVersion,string,"WAF log format version (e.g., 1)"
httpRequest.headers,Headers,dynamic,"HTTP request headers array serialized as JSON"
httpRequest.httpMethod,HttpMethod,string,"HTTP method (GET, POST, etc.) from httpRequest"
httpRequest,HttpRequest,dynamic,"Entire httpRequest object serialized as JSON"
httpSourceId,HttpSourceId,string,"Resource ID of the protected resource (ALB ARN, CloudFront distribution ID, etc.)"
httpSourceName,HttpSourceName,string,"Source type: CF (CloudFront), APIGW, ALB, APPRUNNER, COGNITOIDP, APPSYNC"
httpRequest.httpVersion,HttpVersion,string,"HTTP version from httpRequest (e.g., HTTP/1.1, HTTP/2.0)"
ja3Fingerprint,Ja3Fingerprint,string,"JA3 TLS fingerprint of the client"
labels,Labels,dynamic,"Array of label objects applied by matching rules"
nonTerminatingMatchingRules,NonTerminatingMatchingRules,dynamic,"Array of non-terminating rules that matched"
oversizeFields,OversizeFields,dynamic,"Oversize field handling details"
rateBasedRuleList,RateBasedRuleList,dynamic,"Array of rate-based rules evaluated"
requestHeadersInserted,RequestHeadersInserted,dynamic,"Headers inserted into the request by WAF"
requestId,RequestId,string,"Unique request identifier"
responseCodeSent,ResponseCodeSent,int,"HTTP response code sent to the client (for BLOCK actions with custom responses)"
ruleGroupId,RuleGroupId,string,"Rule group ID (top-level, if present)"
ruleGroupList,RuleGroupList,dynamic,"Array of rule groups evaluated serialized as JSON"
terminatingRule,TerminatingRule,dynamic,"Terminating rule object serialized as JSON"
terminatingRuleId,TerminatingRuleId,string,"ID of the terminating rule"
terminatingRuleMatchDetails,TerminatingRuleMatchDetails,dynamic,"Match details for the terminating rule"
terminatingRuleType,TerminatingRuleType,string,"Type: REGULAR, RATE_BASED, MANAGED_RULE_GROUP, GROUP"
timestamp,TimeGenerated,datetime,"Epoch milliseconds → ISO 8601. Mandatory for Sentinel."
httpRequest.uri,Uri,string,"Request URI from the httpRequest object"
webaclId,WebAclId,string,"Full ARN of the Web ACL"
(system),_BilledSize,real,"Managed by Sentinel — do not send"
(system),_IsBillable,string,"Managed by Sentinel — do not send"
(system),SourceSystem,string,"Managed by Sentinel — do not send"
(system),TenantId,string,"Managed by Sentinel — do not send"
(system),Type,string,"Managed by Sentinel — do not send"
